rating,title,user
10,When Time Stopped,promiseful_513
10,When Time Stopped,ruthnechan_874
10,When Time Stopped,irismoya143_214
7,When Time Stopped,islanchild_242
10,When Time Stopped,geminis_smile25_311
10,When Time Stopped,kathy_james_3
10,When Time Stopped,nanniessoaps_178
10,When Time Stopped,belle_chang
10,When Time Stopped,www_marchul_454
10,When Time Stopped,dina_ochoa_2000_586
10,When Time Stopped,siandoliver_851
10,When Time Stopped,murugan_my_327
10,When Time Stopped,maryann_cady605_420
10,When Time Stopped,arlynjacob0101_282
10,When Time Stopped,1992217364327156_751
10,When Time Stopped,jessygonzalez1808_562
9,When Time Stopped,msgmtj_134
10,When Time Stopped,ady0481_63
10,When Time Stopped,sambikadevi_182
10,When Time Stopped,miavme_668
10,When Time Stopped,mariaiskabernalglez_138
10,When Time Stopped,asurasutil_807
10,When Time Stopped,dhenclarito_403
10,When Time Stopped,erica_townsend44_544
10,When Time Stopped,lizaviles13_443
10,When Time Stopped,nia6686_202
10,When Time Stopped,khjusafan
10,When Time Stopped,dhruthiyat7_660
10,When Time Stopped,naqia_stephens246_480
10,When Time Stopped,sissi13123_358
10,When Time Stopped,essari09_36
10,When Time Stopped,ma4199227_723
10,When Time Stopped,10154624300256483_368
10,When Time Stopped,jayjayantibm_910
3,When Time Stopped,rhkarol_149
10,When Time Stopped,luxfiesta_meicintya_837
9,When Time Stopped,ashu_c06_12
10,When Time Stopped,king501
10,When Time Stopped,junnikhj_521
8,When Time Stopped,onlineprogram1234_684
10,When Time Stopped,thaysvaldivia_838
10,When Time Stopped,demeo_diana3_544
10,When Time Stopped,ohmetofa_469
10,When Time Stopped,clerg1810_37
10,When Time Stopped,harshini_aero_86
10,When Time Stopped,jbearstoll_520
10,When Time Stopped,kid740_877
10,When Time Stopped,lubnamklnz_329
10,When Time Stopped,cirevina_722
10,When Time Stopped,vanemar
10,When Time Stopped,namratahun_997
10,When Time Stopped,luzmleon_905
10,When Time Stopped,all_have_to_give_147
9,When Time Stopped,vickypachecomendiola_349
10,When Time Stopped,bunnygrannyinwash_603
10,When Time Stopped,stello0709_968
10,When Time Stopped,alomara
10,When Time Stopped,defiant1
10,When Time Stopped,cecilia_galvan
10,When Time Stopped,tinamusicfairy
8,When Time Stopped,assenet_86_862
10,When Time Stopped,lauraceballos95_638
10,When Time Stopped,yashijaiswal558_100
10,When Time Stopped,evan_the_cutie_864
10,When Time Stopped,674978109557910_339
10,When Time Stopped,peniel_teran
10,When Time Stopped,jadedny2b_593
10,When Time Stopped,378716669005559_892
10,When Time Stopped,chamoritagal_633
10,When Time Stopped,priyankadeshmukh1619_515
9,When Time Stopped,karou4
10,When Time Stopped,virajmadaan2_872
10,When Time Stopped,439047079955593_308
10,When Time Stopped,ishouldbesleeping
10,When Time Stopped,malikwajeeha25_293
10,When Time Stopped,erinjulielynn_211
10,When Time Stopped,134100070896922_94
10,When Time Stopped,tab_bernier_966
10,When Time Stopped,mayorga122310_654
10,When Time Stopped,alivenner_427
10,When Time Stopped,linda_harris_70
10,When Time Stopped,lindatalbert1234_915
10,When Time Stopped,mushsyhafz1_827
10,When Time Stopped,iheartjiwoo
10,When Time Stopped,c_cartes_635
10,When Time Stopped,daniella_bango_137
10,When Time Stopped,daisy_stacey_g_nieto
10,When Time Stopped,teterka
10,When Time Stopped,stormy_life_861
9,When Time Stopped,kbanosia_604
10,When Time Stopped,jalvarez_6621_510
10,When Time Stopped,lakkariskh_363
10,When Time Stopped,161603794790018_81
10,When Time Stopped,708983465886000_71
10,When Time Stopped,henecias2018_383
10,When Time Stopped,rasmary24_342
10,When Time Stopped,kberkman
10,When Time Stopped,amyperkins13_459
10,When Time Stopped,olivemcarlos
10,When Time Stopped,shereendarityranee_9_475
10,When Time Stopped,shikha_240_274
10,When Time Stopped,srivastavameenu130_716
10,When Time Stopped,snigdhabm11_356
10,When Time Stopped,4MarieRose
10,When Time Stopped,2196482340675809_775
10,When Time Stopped,damarest_972
10,When Time Stopped,jinglerawat_172
10,When Time Stopped,ahsley_hega1_719
10,When Time Stopped,maha_memo585_420
10,When Time Stopped,annemx
10,When Time Stopped,shilpa_sathyam_189
8,When Time Stopped,haigh7775_826
9,When Time Stopped,ana_gabybetan_105
10,When Time Stopped,revaammu1294_249
10,When Time Stopped,carlareed1122_190
10,When Time Stopped,asiamarks
6,When Time Stopped,bulnes_marian_255
10,When Time Stopped,claire4478
10,When Time Stopped,alphymolvarghese28_339
10,When Time Stopped,missladybug0324_822
10,When Time Stopped,padma_club_412
10,When Time Stopped,skylightsrose_259
10,When Time Stopped,ajjamir87_153
9,When Time Stopped,kutey_karla_393
10,When Time Stopped,lucentejessecaclaris_166
10,When Time Stopped,audreyruyi_276
10,When Time Stopped,lalzoliani_fanai68_454
10,When Time Stopped,verito479_9_787
5,When Time Stopped,marra_samoila_500
10,When Time Stopped,annetavila123_738
9,When Time Stopped,laura_sofia_358
10,When Time Stopped,vszzsuzsa_356
10,When Time Stopped,612203172286490_364
10,When Time Stopped,millycandy6_820
8,When Time Stopped,fabricia_m_877
10,When Time Stopped,grannyma5_343
10,When Time Stopped,yo0osammy
8,When Time Stopped,jindammaansi14_756
10,When Time Stopped,rociodkim_450
3,When Time Stopped,ziggy_h
10,When Time Stopped,khjkimo558_567
10,When Time Stopped,ninah3061_233
10,When Time Stopped,gaudymorilulu_279
10,When Time Stopped,abhayonly98_889
6,When Time Stopped,arrgh_barbanera_832
10,When Time Stopped,dnielarc94_973
10,When Time Stopped,gasperale_816
10,When Time Stopped,mayraytherock_83
10,When Time Stopped,blazeprincess_738
10,When Time Stopped,10215202276871662_885
1,When Time Stopped,meghan_muffin
10,When Time Stopped,gawenne_92
10,When Time Stopped,185379889056684_994
8,When Time Stopped,lumipallo
10,When Time Stopped,areliii
10,When Time Stopped,vijupoo28_296
10,When Time Stopped,brendammas_346
1,When Time Stopped,fortuperezu_506
10,When Time Stopped,taraparmar2903_856
10,When Time Stopped,sumercordelia_475
10,When Time Stopped,kimkimksj_673
10,When Time Stopped,1775852849409443_870
10,When Time Stopped,jehoshopato_581
10,When Time Stopped,adilhidia_638
10,When Time Stopped,annahu78_861
